date,open_1day,high_1day,low_1day,close_1day,volume_1day,eqy_float,turnover_1day,open_1min,high_1min,low_1min,close_1min,volume_1min,turnover_1min,volume_proportion
2022/2/18,123.96,126.5,119.89,120.26,1459363,135.186,0.0108,120.32,120.38,120.26,120.26,161740,0.0012,0.110829177
2022/2/22,119.65,124.82,119.29,123.44,1006911,135.186,0.0074,123.51,123.59,123.43,123.48,17396,0.0001,0.017276601
2022/2/23,124.53,124.53,118.91,119.61,908793,135.186,0.0067,119.905,119.91,119.61,119.61,40367,0.0003,0.044418256
2022/2/24,117.7,126.48,117.46,126.27,917931,135.186,0.0068,126.02,126.415,125.955,126.18,17932,0.0001,0.019535237
2022/2/25,126.01,128.61,125.09,128.38,923866,135.186,0.0068,128.4,128.42,128.27,128.38,119296,0.0009,0.129126951
2022/2/28,127.81,130.67,125.65,128.87,1127218,135.186,0.0083,129.08,129.1,128.76,128.87,253270,0.0019,0.224685908
2022/3/1,128.29,131.155,127.225,129.46,1198740,135.186,0.0089,129.48,129.54,129.46,129.46,120879,0.0009,0.10083838
2022/3/2,129.11,129.52,125.6894,126.68,665752,135.186,0.0049,126.58,126.74,126.55,126.68,151672,0.0011,0.22782057
2022/3/3,127.66,128.42,126.33,126.84,703915,135.186,0.0052,126.77,126.99,126.71,126.84,129247,0.001,0.183611658
2022/3/4,125.77,132.49,125.62,131.99,926243,135.161,0.0069,131.72,132,131.72,131.99,119372,0.0009,0.128877627
2022/3/7,132.3,136.477,131.94,134.39,1361582,135.161,0.0101,134.5,134.63,134.37,134.53,28455,0.0002,0.020898484
2022/3/8,132.76,140.295,132.67,137.23,1396866,135.161,0.0103,137.36,137.37,137.12,137.23,114492,0.0008,0.081963481
2022/3/9,138.29,141.22,136.84,140.46,986096,135.161,0.0073,140.3,140.48,140.3,140.46,19330,0.0001,0.019602554
2022/3/10,137.69,142.045,137.26,140.83,820110,134.956,0.0061,140.97,141.02,140.8,140.83,92698,0.0007,0.113031179
2022/3/11,142.33,143.94,137.16,137.97,754717,134.956,0.0056,138.09,138.18,137.97,137.97,150901,0.0011,0.19994382
2022/3/14,136.9,139.33,136.63,136.86,910460,134.956,0.0067,137.21,137.23,136.73,136.86,159452,0.0012,0.175133449
2022/3/15,137.3,138.73,135.83,137.6,902936,134.956,0.0067,137.5,137.63,137.47,137.6,151111,0.0011,0.167355161
2022/3/16,139.77,141.94,136.385,141.74,924063,134.956,0.0068,141.21,141.94,141.2,141.74,143876,0.0011,0.155699341
2022/3/17,142.35,143.96,141.3,142.93,888672,134.956,0.0066,142.64,143.11,142.615,143.02,41768,0.0003,0.047000468
2022/3/18,142.62,145.57,140.87,142.81,1711085,134.956,0.0127,142.75,142.945,142.75,142.86,31947,0.0002,0.01867061
2022/3/21,141.11,143.32,140.165,141.55,867982,134.956,0.0064,141.59,141.68,141.39,141.55,191283,0.0014,0.22037669
2022/3/22,140.6,144.35,139.4,142.93,754030,134.956,0.0056,142.81,142.95,142.72,142.93,121163,0.0009,0.160687241
2022/3/23,142.55,143.09,138.59,138.73,739869,134.956,0.0055,138.66,138.82,138.59,138.73,31829,0.0002,0.043019778
2022/3/24,139.97,141.57,137.64,141.27,1160563,134.956,0.0086,141.42,141.57,141.27,141.27,118229,0.0009,0.101872109
2022/3/25,142.55,142.55,136.9256,138.33,578716,134.956,0.0043,138.3,138.44,138.28,138.33,105722,0.0008,0.182683734
2022/3/28,138.12,139.83,137.33,139.7,1135486,134.956,0.0084,139.6,139.8,139.58,139.8,35499,0.0003,0.031263265
2022/3/29,141.35,143.66,140.1991,143.17,719867,134.956,0.0053,143.04,143.17,142.9,143.17,93473,0.0007,0.129847597
2022/3/30,143.61,143.64,141.11,141.56,672677,134.956,0.005,141.53,141.6,141.22,141.43,24301,0.0002,0.036125808
2022/3/31,142.24,145.09,140.86,144.05,594223,135.254,0.0044,144.124,144.19,144.005,144.15,15561,0.0001,0.026187138
2022/4/1,144.26,148.94,142.52,148.89,825961,135.254,0.0061,148.72,148.94,148.72,148.89,194493,0.0014,0.235474798
2022/4/4,149.7,151.3,148.28,149.91,594979,135.254,0.0044,149.91,150,149.83,149.91,86034,0.0006,0.144600062
2022/4/5,150.66,154.6,149.89,150.79,741194,135.254,0.0055,150.82,150.91,150.77,150.79,128955,0.001,0.17398279
2022/4/6,149.77,153.86,149.525,151.9,705027,135.254,0.0052,152.15,152.163,151.84,151.86,19237,0.0001,0.02728548
2022/4/7,150.9,158.38,150.7,156.12,1215288,135.254,0.009,155.905,156.23,155.89,156.12,171707,0.0013,0.141289143
2022/4/8,149.55,159.5456,147,151.84,2975922,135.254,0.022,151.475,151.9,151.46,151.84,160240,0.0012,0.053845497
2022/4/11,150.31,150.8626,144.0175,144.29,1110146,135.254,0.0082,144.4,144.44,144.25,144.29,34479,0.0003,0.031058077
2022/4/12,145.81,146.92,142.1,142.23,1239210,135.254,0.0092,142.265,142.4,142.21,142.3,28646,0.0002,0.02311634
2022/4/13,143.08,148.01,142.34,147.44,772536,135.254,0.0057,147.66,147.7,147.31,147.37,18204,0.0001,0.02356395
2022/4/14,147.44,150.42,146.9,149.72,842484,135.254,0.0062,149.65,149.8,149.64,149.76,22091,0.0002,0.026221269
2022/4/18,149.56,149.89,143.64,144.39,465390,135.254,0.0034,144.29,144.51,144.18,144.39,95444,0.0007,0.205083908
2022/4/19,143.09,146.56,143,144.29,436045,135.254,0.0032,144.34,144.375,144.17,144.29,124049,0.0009,0.284486693
2022/4/20,145.07,145.1531,142.67,143.89,475437,135.254,0.0035,143.895,143.99,143.75,143.93,15794,0.0001,0.033219964
2022/4/21,143.8,146.06,141.08,141.44,546922,135.254,0.004,141.53,141.56,141.43,141.44,95666,0.0007,0.174917081
2022/4/22,140.89,142.11,137.66,138,709241,135.254,0.0052,137.88,138.05,137.66,138,110194,0.0008,0.155368908
2022/4/25,137.61,139.54,136.7056,138.54,989021,135.259,0.0073,138.46,138.55,138.3,138.54,218497,0.0016,0.220922508
2022/4/26,138.13,139.45,131.44,131.59,986008,135.259,0.0073,131.62,131.67,131.44,131.56,40539,0.0003,0.041114271
2022/4/27,132.12,134.18,130.33,130.44,1127148,135.259,0.0083,130.46,130.61,130.33,130.44,114274,0.0008,0.101383314
2022/4/28,130.54,130.92,125.25,130.23,1624478,135.515,0.012,129.93,130.25,129.86,130.23,124057,0.0009,0.076367301
2022/4/29,136.32,137.005,130.195,131.01,1553423,135.515,0.0115,131.18,131.26,131,131.01,338487,0.0025,0.217897508
2022/5/2,130.39,131.66,126.96,130.45,1009689,135.515,0.0075,130.55,130.59,130.37,130.45,10744,0.0001,0.0106409
2022/5/3,130.17,133.3,130.15,131.51,566657,135.515,0.0042,131.44,131.71,131.44,131.6,14269,0.0001,0.025181018
2022/5/4,131.01,133.39,127.575,132.65,1159024,135.515,0.0086,132.65,132.74,132.53,132.65,207834,0.0015,0.179318116
2022/5/5,132.4,133.69,127.06,128.69,784773,135.515,0.0058,128.53,128.86,128.52,128.69,262109,0.0019,0.333993397
2022/5/6,126.79,127.99,122.38,123.44,804068,135.515,0.0059,123.48,123.53,123.27,123.44,95264,0.0007,0.118477542
2022/5/9,120.46,120.8,105.43,108.81,2622704,135.515,0.0194,108.485,109.07,108.23,108.81,332960,0.0025,0.126952946
2022/5/10,114.34,124.08,114.26,120.48,2124938,135.515,0.0157,120.47,120.51,120.4,120.48,156285,0.0012,0.073548028
2022/5/11,118.15,123.04,116.3,119.45,2179666,135.515,0.0161,119.39,119.6,119.23,119.46,52819,0.0004,0.024232612
2022/5/12,118.61,127.27,118.27,127.1,1540704,135.515,0.0114,127.14,127.27,127.01,127.1,154781,0.0011,0.100461218
2022/5/13,129.25,136.83,129.2,135.63,1657662,135.515,0.0122,135.45,135.65,135.42,135.63,192825,0.0014,0.116323472
2022/5/16,134.18,146.67,134.14,142.54,2010624,135.515,0.0148,142.24,142.55,142.215,142.54,179650,0.0013,0.089350371
2022/5/17,143.79,147.41,142.6,146.55,1013412,135.559,0.0075,146.49,146.63,146.405,146.55,136161,0.001,0.134358977
2022/5/18,143.71,145.14,141.99,143,1103280,135.55,0.0081,143,143.07,142.94,143,216823,0.0016,0.196525814
2022/5/19,143.37,145.19,139.84,142.63,1023453,135.55,0.0076,142.71,142.78,142.49,142.7,20977,0.0002,0.0204963
2022/5/20,144.2,144.46,136.11,139.64,1692560,135.55,0.0125,139.56,139.78,139.5,139.64,147228,0.0011,0.086985395
2022/5/23,141.92,142.07,137.72,139.34,711413,135.55,0.0052,139.3,139.45,139.28,139.34,83918,0.0006,0.11795961
2022/5/24,138.74,138.74,132.09,133.47,1069102,135.55,0.0079,133.24,133.5,133.2,133.47,112841,0.0008,0.105547459
2022/5/25,133.85,137.11,133.005,136.47,1199271,135.55,0.0088,136.19,136.47,136.18,136.47,97098,0.0007,0.080964186
2022/5/26,137.34,139.44,135.71,138.46,1285022,135.55,0.0095,138.815,138.85,138.405,138.46,243284,0.0018,0.189322829
2022/5/27,139.04,143.12,136.93,141.39,1032520,135.55,0.0076,141.26,141.41,141.1,141.39,144912,0.0011,0.140347887
2022/5/31,141.06,141.06,135.2,135.68,1561167,135.55,0.0115,135.73,135.73,135.5,135.62,57478,0.0004,0.03681733
2022/6/1,137.05,138.35,132.98,134.16,784727,135.55,0.0058,134.37,134.44,134.09,134.16,112933,0.0008,0.143913743
2022/6/2,132.92,135.28,132.46,135.2,715194,135.55,0.0053,135.2,135.26,135.16,135.23,11773,0.0001,0.016461268
2022/6/3,134.87,141.12,134.6925,139.94,1320130,135.55,0.0097,139.92,139.97,139.78,139.94,24383,0.0002,0.018470151
2022/6/6,142.41,143.44,140.66,142.52,975235,135.55,0.0072,142.31,142.6,142.26,142.52,114024,0.0008,0.116919512
2022/6/7,142.66,146.17,142.265,144.36,835381,135.55,0.0062,144.56,144.56,144.3,144.36,129316,0.001,0.154798828
2022/6/8,144.22,146.13,143.06,144.29,725667,135.55,0.0054,144.56,144.6,144.17,144.29,94944,0.0007,0.130836871
2022/6/9,143.26,145.38,141.67,141.75,579993,135.55,0.0043,141.86,141.91,141.735,141.75,96421,0.0007,0.16624511
2022/6/10,139.46,141.73,138.415,139.4,706950,135.55,0.0052,139.52,139.54,139.37,139.4,131693,0.001,0.18628333
2022/6/13,136.09,141.225,133.95,139.6,2126151,135.55,0.0157,139.6,139.71,139.56,139.6,306022,0.0023,0.143932392
2022/6/14,141,144.98,140.73,144.64,1472894,135.55,0.0109,144.29,144.82,144.23,144.64,197660,0.0015,0.134198388
2022/6/15,144.92,150,144.905,147.24,1344186,135.55,0.0099,147.28,147.4,147.24,147.28,24891,0.0002,0.018517527
2022/6/16,144.12,147.32,143.24,146.78,1292405,135.55,0.0095,146.96,146.985,146.56,146.78,238911,0.0018,0.184857688
